Folio,Lugar Muestreo,Comuna,Temp. Amb (°C),pH,ORP (mV),O2 Sat (%),O2 (ppm),Cond (µS/cm),Cond Abs (µS/cm),TDS (ppm),Turb (FNU),Temp Agua (°C),Presión (PSI),Viento,Oleaje,Musgo,Algas,Cielo,Fósforo reactivo total (mg/L)
20250226-A,Playa Grande,Pucón,"19,95","7,87","257,3","95,9","8,25",73,68,36,"0,4","21,26","14,268",1,3,0,0,0,"0,017"
20250226-B,Playa Carmelito,Pucón,"25,02","8,67","229,4","109,4","9,19",51,49,26,"0,1","22,44",14.260,1,1,0,1,0,"0,006"
20250226-C,Playa los Chilcos,Villarrica,"24,69","8,78","222,4","104,7","8,78",56,53,28,"0,6","22,54","14,253",1,2,0,1,0,"0,006"
20250226-D,Playa Linda,Villarrica,"24,8","8,85","236,8","109,8","9,26",57,54,29,"0,7","22,24","14,256",2,1,0,0,0,"0,007"
20250226-E,Playa pucará,Villarrica,"25,29","8,73","160,9","109,3","9,22",62,58,31,"31,6","22,22",14.250,1,1,0,0,0,"0,017"
20250227-A,Playa Grande,Pucón,"19,53","8,65","208,3","101,3","8,69",38,35,19,"0,3","21,33","14,241",1,1,0,0,2,"0,005"
20250227-B,Playa Carmelito,Pucón,"18,37","8,66","213,2","99,6","8,52",40,37,20,"0,6","21,5",14.250,1,1,0,0,2,"0,004"
20250227-C,Playa los Chilcos,Villarrica,"22,31","8,97","171,2","116,1","9,97",37,34,18,0,"21,33","14,265",1,1,0,0,0,"0,003"
20250227-D,Playa Linda,Villarrica,"22,3","8,82","151,7","98,3","8,47",37,34,18,0,"21,26","14,278",1,1,0,0,0,"0,005"
20250227-E,Playa pucará,Villarrica,"23,08","8,74","191,6","98,2","8,28",40,38,20,0,"22,34","14,273",1,1,0,0,2,"0,007"
20250310-A,Playa Grande,Pucón,"15,40","8,61","262,0","99,9","8,96",68,61,34,"1,1","19,25","14,298",2,1,0,0,2,"0,007"
20250310-F,Playa El Plata,Pucón,"16,90","8,85","239,9","119,0","10,58",63,57,32,"1,2","19,70","14,298",0,0,0,0,2,"0,005"
20250311-A,Playa Grande,Pucón,"20,21","8,78","243,6","92,9","8,38",56,50,28,"1,6","19,06","14,316",1,1,0,0,0,"0,01"
20250311-B,Playa Carmelito,Pucón,"22,86","8,98","221,6","108,7","9,46",53,49,27,"0,8","20,89",14,1,1,0,0,0,"0,007"
20250311-C,Playa Los Chilcos,Villarrica,"23,89","8,97","196,2","108,0","9,54",51,46,25,"0,1","20,17","14,336",2,2,0,0,0,"0,005"
20250311-D,Playa Linda,Villarrica,"23,68","8,67","197,8","107,5","9,53",51,46,25,"0,2","20,00","14,342",2,2,0,0,0,"0,004"
20250311-E,Playa pucará,Villarrica,"25,54","8,79","198,7","102,4","9,12",51,46,26,"1,2","19,76","14,341",2,1,0,0,0,"0,011"
20250312-A,playa grande,Pucón,"22,4","8,3","209,9","115,2","10,47",56,50,28,"0,9","18,67","14,308",2,0,0,0,0,"0,013"
20250312-B,Playa Carmelito,Pucón,"20,84","8,8","283,7","120,9","10,56",52,48,26,"0,1","20,63","14,305",0,0,0,1,0,"0,009"
20250312-C,Playa Los Chilcos,Villarrica,"24,0","8,7","282,5","110,0","9,84",53,47,26,"0,1","19,42","14,302",2,0,0,0,0,"0,008"
20250312-D,Playa Linda,Villarrica,"26,13","9,0","198,6","121,4","10,71",54,49,27,"0,5","20,09","14,308",0,0,0,1,0,"0,009"
20250312-E,Playa pucará,Villarrica,"28,62","8,3","227,8","101,9","8,97",55,50,27,"24,9","20,22","14,312",0,0,0,0,0,"0,013"
20250313-A,Playa grande,Pucón,"19,1","8,5","229,5","99,1","8,86",54,48,27,"0,6","19,35","14,265",1,2,0,0,1,"0,013"
20250313-B,Playa Carmelito,Pucón,"22,79","8,8","190,1","110,1","9,71",45,41,23,"0,4","20,05","14,274",1,1,0,0,0,"0,011"
20250313-C,Playa Los Chilcos,Villarrica,"21,1","8,7","187,6","99,6","8,72",43,39,22,0,"20,47","14,288",0,0,0,1,0,"0,012"
20250313-D,Playa Linda,Villarrica,"22,83","9,2","206,6","135,5","11,68",46,42,23,"0,7","21,21","14,287",1,1,0,1,0,"0,01"
20250313-E,Playa pucará,Villarrica,"24,15","8,6","198,1","93,1","8,28",41,36,20,"0,4","19,66","14,287",2,1,0,0,0,"0,009"
20250314-A,Playa Grande,Pucón,"15,65","8,4","231,9","92,5","8,30",67,59,33,"1,0","19,08","14,243",1,0,0,0,2,"0,022"
20250314-F,Playa El Plata,Pucón,"14,61","8,9","16,0","97,3","8,72",56,50,28,0,"19,65","14,24",0,1,0,0,2,"0,015"
