Folio,Lugar Muestreo,Comuna,Temp. Amb (°C),pH,ORP (mV),O2 Sat (%),O2 (ppm),Cond (µS/cm),Cond Abs (µS/cm),TDS (ppm),Turb (FNU),Temp Agua (°C),Presión (PSI),Viento,Oleaje,Musgo,Algas,Cielo,Fósforo reactivo total (mg/L)
20250117-D,Playa Linda,Villarrica,"22,80","8,33","230,4","95,7","8,11",57,54,28,"0,0","22,35","14,347",2,2,0,1,0,"0,008"
20250117-E,Playa Pucará,Villarrica,"29,8","8,46","187,9","120,7","10,24",54,52,27,"2,8","22,32","14,355",1,1,0,0,0,"0,016"
20250120-A,Playa Grande,Pucón,"19,55","7,74","225,6","103,2","8,66",45,43,23,"0,8","22,58","14,628",1,1,0,0,0,"0,015"
20250120-B,Playa Carmelito,Pucón,"27,16","8,61","226,2","11,8","9,24",44,43,22,"0,6","23,34","14,271",0,1,1,0,2,"0,007"
20250120-C,Playa Los Chilcos,Villarrica,"24,84","8,48","204,3","99,9","8,22",44,43,22,"0,0","23,72","14,290",1,3,1,0,2,"0,009"
20250120-D,Playa Linda,Villarrica,"25,78","8,35","216,0","107,4","9,0",47,45,23,"0,1","22,67","14,280",2,3,0,1,2,"0,007"
20250120-E,Playa Pucará,Villarrica,"25,42","8,38","214,8","108,4","9,07",45,43,22,"4,4","22,74","14,249",2,2,0,1,2,"0,011"
20250121-A,Playa Grande,Pucón,"23,00","8,0","220,2","100,0","8,37",72,69,36,"0,8","22,82","14,306",2,1,0,0,2,"0,014"
20250121-B,Playa Carmelito,Pucón,"21,05","8,22","200,8","98,8","8,22",63,61,32,"0,5","23,12","14,297",1,2,1,0,2,"0,014"
20250121-C,Playa Los Chilcos,Villarrica,"20,18","8,42","197,2","102,9","8,70",56,54,28,"0,0","22,27","14,295",2,3,0,0,2,"0,009"
20250121-D,Playa Linda,Villarrica,"20,4","8,3","219,4","100,0","8,6","66,0","62,0","33,0","0,0","21,4","14,3",1,2,0,0,2,"0,009"
20250121-E,Playa Pucará,Villarrica,"20,0","8,02","212,6","90,1","7,80","66,0","61,0",33,"4,2","21,00","14,281",2,0,0,0,2,"0,009"
20250121-F,Playa El Plata,Pucón,"27,02","8,13","215,5","106,0","8,64",70,69,35,"0,0","24,19","14,289",0,0,0,0,0,"0,009"
20250122-A,Playa grande ,Pucón,"19,33","8,56","197,9","100,2","7,95",71,67,35,"1,6","22,45","14,279",1,0,0,0,0,"0,019"
20250122-B,Playa Carmelito,Pucón,"22,7","8,04","183,5","81,1","6,71",58,56,29,"0,2","23,33","14,280",1,0,0,0,0,"0,009"
20250122-C,Playa Los Chilcos,Villarrica,"21,13","8,07","2,199","96,9","8,05",61,58,30,"0,0","23,1","14,277",1,0,0,0,0,"0,013"
20250122-D,Playa Linda,Villarrica,23,"8,27","177,7","103,8","8,79",59,56,29,"0,2","22,19","14,294",0,0,0,0,2,"0,01"
20250122-E,Playa Pucará,Villarrica,"25,9","8,41","166,5","99,2","8,28",55,53,28,"2,5","22,93","14,302",1,0,0,0,2,"0,01"
20250124-A,Playa grande ,Pucón,"20,49","7,58","234,2","100,9","8,57",70,66,35,"0,6","22,19","14,329",1,1,0,0,0,"0,036"
20250124-B,Playa Carmelito,Pucón,"25,98","8,48","222,2","110,6","9,09",55,54,28,"0,2","23,79","14,319",2,1,0,1,0,"0,027"
20250124-C,Playa Los Chilcos,Villarrica,"24,4","8,59","207,6","101,9","8,38",57,55,28,"0,0","23,85","14,332",1,1,0,1,0,"0,022"
20250124-D,Playa Linda,Villarrica,"22,71","8,44","217,9","97,7","8,27",55,52,27,"0,1","22,46","14,336",1,1,0,1,0,"0,022"
20250124-E,Playa Pucará,Villarrica,23,"8,4","208,8","100,5","8,35",53,51,26,"12,9","23,29","14,332",0,1,0,1,0,"0,029"
20250124-A,Playa Grande,Pucón,"17,01","7,74","252,6","94,4","8,07",72,68,36,"0,3","21,63","14,273",1,2,0,0,0,"0,027"
20250124-B,Playa Carmelito,Pucón,"25,36","8,31","236,1","102,5","8,62",59,56,29,"0,1","22,53","14,289",1,1,1,1,0,"0,023"
20250128-C,Playa Los Chilcos,Villarrica,"22,3","8,35","225,5","93,6","7,8",58,56,29,"0,9","23,09","14,308",1,1,2,0,0,"0,023"
20250128-D,Playa Linda,Villarrica,"25,6","8,76","201,4","106,8","9,02",60,57,30,"0,0","22,34","14,313",0,1,0,1,0,"0,028"
20250128-E,Playa Pucará,Villarrica,"28,29","8,6","194,3","99,8","8,52",58,55,29,"2,5","21,81","14,309",1,0,0,1,0,"0,033"
20250129-A,Playa Grande,Pucón,"21,7","7,45","232,9","83,3","7,05",49,46,24,"0,2","22,05","14,261",1,2,0,0,0,"0,022"
20250129-B,Playa Carmelito,Pucón,23,"8,22",226,"99,7","8,3",44,43,22,"0,0","22,91","14,265",1,1,0,0,0,"0,016"
20250129-C,Playa Los Chilcos,Villarrica,"23,8","8,29","219,6","104,6","8,7",48,46,24,0,23,"14,266",1,2,0,0,0,"0,025"
20250129-D,Playa Linda,Villarrica,25,"8,53","211,6","115,3","9,67",48,46,24,0,"22,64","14,293",0,2,0,1,0,"0,023"
20250129-E,Playa Pucará,Villarrica,27,"8,3","155,8","98,8","8,26",50,48,25,"3,4","22,8","14,294",0,2,0,1,0,"0,021"
20250130-A,Playa Grande,Pucón,"19,82","7,94","238,5","97,3","8,2",62,59,31,"0,1","22,29","14,257",2,3,0,0,0,"0,022"
20250130-B,Playa Carmelito,Pucón,"23,53","8,34","220,3","110,1",9,44,43,22,0,"23,94","14,275",2,3,2,0,0,"0,018"
20250130-C,Playa los Chilcos,Villarrica,"27,85","8,48","206,6","97,4","7,93",44,43,22,0,"24,24","14,295",1,3,0,0,0,"0,088"
20250130-D,Playa Linda,Villarrica,"24,71","8,51","155,5","102,4","8,44",41,40,21,"0,3","23,63","14,302",1,2,0,0,0,"0,032"
20250130-E,Playa Pucará,Villarrica,"25,46","8,37","185,7","97,8","7,75",42,43,21,"9,4","25,78","14,297",2,1,0,0,0,"0,016"
20250131-A,playa Grande,Pucón,"20,4",8,"234,3","95,8","8,02",68,65,34,0,"22,74","14,292",1,1,2,0,2,"0,023"
20250131-B,Playa Carmelito,Pucón,"23,2","8,57","228,4","102,5","8,34",64,63,32,0,"24,31","14,305",1,1,1,1,2,"0,024"
20250131-C,Playa los Chilcos,Villarrica,"25,8","8,65","203,6","108,3","9,03",62,60,31,0,"23,04","14,316",2,1,0,0,2,"0,02"
20250131-D,Playa Linda,Villarrica,"26,5","8,6","209,1","109,7","9,24",63,61,32,"0,2","22,52","14,316",1,2,0,1,2,"0,02"
20250131-E,Playa Pucará,Villarrica,"28,4","8,46","204,3","99,8","8,3",63,61,31,"3,6","23,19","14,315",0,0,0,1,2,"0,024"
20250203-A,Playa Grande,Pucón,"19,17","7,85",250,93,"7,97",59,55,30,0,"21,49","14,289",1,2,0,0,0,"0,023"
20250203-B,Playa Carmelito,Pucón,"23,4","8,59","226,1","101,6","8,47",52,50,26,"0,2","22,97","14,287",1,2,0,1,0,"0,021"
20250203-C,Playa los Chilcos,Villarrica,"21,31","8,6","228,1","101,9","8,49",53,52,27,0,"23,07","14,296",1,3,0,0,0,"0,02"
20250203-D,Playa Linda,Villarrica,"23,09","8,49","220,3","101,6","8,62",51,49,22,0,"22,15","14,304",0,2,0,1,0,"0,02"
20250203-E,Playa Pucará,Villarrica,"25,48","8,49","193,5","102,6","8,67",50,48,25,"3,8","22,37","14,313",2,1,0,1,2,"0,022"
20250204-A,Playa Grande,Pucón,"19,31","8,13","253,7","106,4","9,29",50,46,25,"0,3","20,45","14,251",0,1,0,0,0,"0,03"
20250204-B,Playa Carmelito,Pucón,"24,86","8,61","229,6","113,5","9,62",42,40,21,0,"22,02","14,263",1,2,0,1,1,"0,025"
20250204-C,Playa los Chilcos,Villarrica,"25,54","8,67",195,"104,2","8,63",41,40,21,0,"23,3","14,282",0,1,0,0,1,"0,023"
20250204-D,Playa Linda,Villarrica,"24,28","8,52","165,5","97,7","8,24",41,39,21,0,"22,37","14,289",1,1,0,1,2,"0,031"
20250204-E,Playa Pucará,Villarrica,"23,1","8,4","234,3",96,"7,85",42,41,21,"20,3","23,91","14,275",0,0,0,1,2,"0,029"
20250205-A,Playa Grande,Pucón,18,"7,83","236,3","92,6","7,97",68,63,34,0,"21,22","14,272",2,2,0,0,2,"0,028"
20250205-B,Playa Carmelito,Pucón,"20,5","8,45","229,1",100,"8,53",63,59,32,"0,1","21,73","14,283",0,2,0,1,2,"0,024"
20250205-C,Playa los Chilcos,Villarrica,"24,1","8,54","215,5",110,"9,44",63,59,31,"0,4","21,46","14,287",0,2,0,0,0,"0,024"
20250205-D,Playa Linda,Villarrica,"22,05","8,02","209,1","100,2","8,61",58,54,29,"0,1","21,44","14,294",0,2,0,0,2,"0,024"
20250205-E,Playa Pucará,Villarrica,"22,3","8,61","177,7","105,5","9,02",61,57,30,"2,6","21,66","14,292",0,1,0,1,2,"0,027"
20250206-A,Playa Grande,Pucón,"20,2","7,99","247,4","98,7","8,42",76,71,38,0,"21,8","14,285",1,2,0,0,0,"0,031"
20250206-B,Playa Carmelito,Pucón,"25,76","8,52","225,8","107,9","8,97",58,56,29,"0,2","23,12","14,289",1,2,0,0,0,"0,025"
